"city","country","description","location","state","state_abbrev","longitude","latitude","city_longitude","city_latitude","",""
"Los Angeles","United States","Floor South -  The story is that some people who had been getting stoned in the third floor bathroom, experimented with some laced substances. Resulting in a loss of their sanity and the bludgeoning of one of them and at least one other. On the evenings near closing time, after hours, and in the early morning the faucets turn themselves on and off, as well as locked doors being forced open. There have also been reports of cold spots in the restroom and in the area surrounding the bathroom. There is an eerie feeling in that area and sometimes you can hear stoned laughter.","J.F.K. Library Third","California","CA","-118.2436849","34.0522342","-118.2436849","34.0522342","",""
"Keene","United States","The old abandoned hospital can be found off dirt roads in the back of the small town of Keene. It was once a huge TB hospital that housed so many victims that it was eventually forced to close. Legend has it, that in the children's ward you can hear kids laughing and talking. In the rest of the building, strange voices and noises can be heard.","Keene Hospital","California","CA","-118.5623117","35.2235728","-118.5623117","35.2235728","",""
"Alhambra","United States","The employees have already concluded a somewhat accurate story to what is going on there. An old woman, a little boy and a man haunt it. The story goes that the old woman is mean, and is after the little boy. But she can't get to him, because the man is protecting the boy from her. The haunts consists of doors slamming, books flying across the room barely missing people, and sounds of foot steps. As people pass a hallway that has mirrors on both sides of the wall, they have seen the old woman or man in the reflection. Then, they suddenly disappear.","The Turner &amp; Stevens Mortuary","California","CA","-118.1270146","34.095287","-118.1270146","34.095287","",""
"Ventura","United States","Used to be a church on Main St. in Ventura. Emperor's bedroom is the most haunted room. It used to be a choir loft. Many years ago, a lady in the choir fell from the loft and unfortunately didn't survive. Occasionally, guests in the room have heard her singing. Other non-paying guests include a minister that sometimes tuck guests into bed in the timeless treasures room. In the Fleur-De-Lis room, guests have sometimes enjoyed foot massages, only to realize that their partner is asleep. In the large central lobby area, footsteps have been heard, even though no one else was in the room at the time.","Victorian rose bed &amp; breakfast","California","CA","-119.2290316","34.274646","-119.2290316","34.274646","",""
"South Los Angeles","United States","There are reports of ghostly happenings in the stock rooms of this former Zody's. It is believed that a double murder/suicide took place somewhere in the upstairs stockroom. Apparently, a couple worked together for Zody's and the boyfriend caught his girlfriend in a compromising situation with another male employee. The enraged boyfriend located a box cutter and slashed the two to death. He then slashed his own wrists and carotid artery. After several reports from employees of unusual activity, Kmart headquarters in Michigan has admitted to hiring paranormal/paraphysical investigators to conduct investigations into the incident. The conclusion was that indeed the building was occupied by several spirits. The investigators concluded that four different spirits dwell throughout the building. The fourth has not been linked to any known incident that may have occurred and thus is unknown for its presence. Kmart has remained quiet on the findings of this investigation and resources revealed that employees of this store are not advised of this activity. Prior to changing over to Kmart, Zody's employees reported seeing a man walking about in the stockroom. A woman is also seen running and sometimes screams are heard. In one case, an overnight employee sustained a 7 inch laceration while working in the stockroom. Zody's management insisted that the incident was just an accident caused by falling boxes that were stacked too high, but resources close to the victim tell another tale. A paring knife mysteriously came across the room and cut the employee across the chest. No one was seen in the area. The victim survived his wounds, but obviously resigned from the company. Sightings and sounds have been reported throughout the years, but no one else has been physically attacked since.","Kmart #7625","California","CA","-118.2914872","33.9891116","-118.2914872","33.9891116","",""
"Vallejo","United States","""Little Boy Blue"" the missing Royal of France. In 1980, the authentic painting of Little Boy Blue was found in a old wore down home on Richardson Drive. The people just bought the home and the neighborhood was being rebuilt. One of the Construction Workers came across the Painting. It was Prince Louis Bonaparte Delacroix Montenegro Hollanzder of France(1879).He was going to be King. He was kidnapped at 18 years old. Right after the Royal Court painted his picture. Some say he was murdered violently still wearing his Royal Outfit. He had a met another Royal who was also kidnapped and taken here and they became boyfriend and girlfriend. The description of the ghost: Prince Louis has short dark hair combed back. He is wearing a blue army/military suit with a white collar, he looks like a teenager, he is a bit thin. He has blue eyes. He loves women. Some people say he was killed on his way to meet his girlfriend who lived in the Marche Mansion.(Located on the present-day Angelina Way Street).*Some people say every night since 1879 the ghost of Prince Louis kisses any women who end up moving to this street, going house to house watching over them. (His ghost was the Inspiration to the Story Peter Pan)WRITTEN IN 1900.","Richardson Drive &amp; Old Marche-Maher Ranch Area (Now Borges Ranch)","California","CA","-122.2566367","38.1040864","-122.2566367","38.1040864","",""
"Parker Dam","United States","Workers there today report hearing whistling and keys jingling when there is no one else around.","Intake Pump Plant, Metropolitan Water District","California","CA","-114.1577694","34.3162124","-114.1430071","34.287246","",""
"Calexico","United States","Old burned down restaurant. Ghostly apparitions have been sighted.","El Charro","California","CA","-115.4125088","32.6491616","-115.4988834","32.6789476","",""
"Calexico","United States","At night there are noises heard, and things seen. People have reported to see a girl walk around at different hours of the night. A group of teachers reported to have seen her at a pep rally in the 80's at the football field. Another claim was made by construction workers who were building the new gym, they saw a girl walking to the football field early in the morning, when they called out to her it was as if she didn't hear them. Other encounters are doors slamming, windows shutting, lights flickering and turning off. The story is of a girl who was killed in a car accident coming back from an away football game, she was a cheerleader and now apparently it is said that it is her that haunts the school.","Calexico High School","California","CA","-115.4871555","32.6769963","-115.4988834","32.6789476","",""
"Heber","United States","Noises such as stomping and eraser banging are heard especially at night. Before the windows were completely broken off, there was one front window that was broken in the shape of a women.","Old Heber School House","California","CA","-115.5284066","32.726299","-115.529718","32.7308911","",""
